index,likes,publish_time,favorites,reposts,duration
1,1117,2025.09.23,199,94,811
3,11000,2025.09.20,12000,887,3461
4,244,2025.09.24,117,37,276
5,164000,2025.09.24,5238,5842,798
6,103000,2025.09.19,6630,11000,15
7,2837,2025.08.18,273,36,551
8,21000,2025.09.24,3377,2497,197
9,427000,2025.09.08,235000,74000,34358
10,510,2025.09.20,76,39,6
11,1327000,2025.09.23,54000,194000,942
12,827000,2025.09.24,26000,235000,16
13,853,2025.07.24,272,86,868
14,502,2025.09.24,158,38,213
15,58000,2025.09.07,7415,5539,1170
16,4334,2025.09.13,1079,670,245
17,722,2025.07.13,357,75,637
18,26000,2025.08.11,1723,371,10
19,264000,2025.09.18,23000,15000,951
20,2422,2025.09.20,561,40,5
21,427000,2025.08.19,66000,42000,1059
22,786,2025.09.19,140,6,298
23,211000,2025.09.11,38000,57000,1606
24,2297000,2025.09.22,125000,706000,9
25,926,2025.08.31,124,281,731
26,1678000,2025.09.21,87000,175000,11
27,8339,2025.09.09,831,293,474
28,9056,2025.09.02,677,104,239
29,225000,2025.09.24,9970,7196,475
30,30000,2025.09.08,14000,466,34854
31,167000,2025.08.27,48000,36000,1282
32,21000,2025.09.24,533,39,5
33,8469,2025.09.12,3626,1465,5433
34,245000,2025.09.24,7185,6531,161
35,14000,2025.08.25,16000,2327,1309
36,5298,2025.09.13,458,113,11
37,42000,2025.09.25,3272,2738,1449
38,19000,2025.09.14,11000,273,39284
39,251000,2025.07.12,25000,5688,409
40,37000,2025.09.10,2786,13000,9
41,2111000,2025.09.20,73000,564000,5
42,618000,2025.09.24,30000,93000,443
43,11000,2025.09.02,1633,1826,7
44,9835,2025.09.15,5886,771,35777
45,1285,2025.07.19,1069,299,354
46,1672000,2025.08.17,62000,169000,8
47,126,2025.09.10,72,9,2154
48,267,2025.09.01,136,109,986
49,10000,2025.09.16,1361,1557,5
50,13000,2025.09.24,7887,5078,350
51,8369,2025.09.24,2486,1004,992
52,1276,2025.09.16,71,15,5
53,3243,2025.09.07,1705,162,35224
54,68,2025.09.22,14,4,5
55,5680,2025.09.03,8312,1405,1704
56,905,2025.09.23,673,239,241
57,175000,2025.09.20,83000,20000,1017
58,139000,2025.09.02,87000,67000,166
59,6377,2025.09.07,13000,3428,717
60,35000,2025.08.14,3062,29000,7
61,85000,2025.09.24,12000,3881,1219
62,4725,2025.08.10,742,219,238
63,14000,2025.09.13,9247,398,357
64,2909,2025.09.18,44,1,5
65,508000,2025.09.23,23000,22000,372
66,12000,2025.09.11,5670,186,35791
67,361000,2025.08.25,375000,55000,2815
68,565000,2025.09.22,21000,28000,8
69,347000,2025.09.24,34000,16000,782
70,1577000,2025.09.16,50000,149000,112
71,8334,2025.09.24,1058,142,504
72,5853,2025.09.16,766,55,178
73,491000,2025.09.20,266000,75000,466
74,12000,2025.09.03,4094,14000,5
75,2274,2025.09.22,634,63,1727
76,8499000,2025.07.30,1076000,3705000,192
77,62000,2025.06.27,81000,26000,1758
78,1336000,2025.09.10,189000,105000,16
79,168000,2025.08.29,51000,9590,1700
80,209000,2025.09.21,13000,11000,21
81,641,2025.09.24,228,68,1041
82,407000,2025.09.23,8157,8010,70
83,1521000,2025.09.12,211000,195000,2335
84,52000,2025.07.03,24000,1700,263
85,5174,2025.08.23,4172,315,36000
86,103000,2025.09.24,1874,2639,9
87,1467000,2025.08.20,273000,143000,989
88,92000,2025.09.23,5153,2206,6
89,10742000,2025.08.19,337000,1386000,576
90,133000,2025.09.12,2186,24000,5
91,113000,2025.09.03,6467,196,1182
92,1002000,2025.09.24,28000,277000,7
93,5561,2025.08.19,2316,136,3484
94,1540,2025.09.04,71,633,5
95,16000,2025.09.13,201,40,5
96,24000,2025.09.10,7602,3812,636
97,1772,2025.09.22,31,7,5
98,114000,2025.09.19,9910,12000,863
99,2668,2025.08.09,381,76,845
100,7041,2025.09.24,965,358,241
101,324000,2025.09.20,21000,7335,5
102,120000,2025.09.24,16000,9761,637
103,155000,2025.09.22,17000,97000,219
104,14000,2025.08.14,1236,73,851
105,4036,2025.08.29,985,627,185
106,21000,2025.09.19,20000,1786,1004
107,491,2025.09.05,194,86,8
108,29000,2025.08.12,3713,663,1235
109,2741,2025.09.02,707,57,7
110,342000,2025.09.24,11000,43000,412
111,133000,2025.09.18,58000,30000,809
112,905,2025.09.20,19,3,8
113,63000,2025.08.22,5669,1166,1239
114,492000,2025.09.24,17000,41000,18
115,19000,2025.09.24,996,569,1439
116,568000,2025.07.31,70000,146000,1374
117,782000,2025.07.06,57000,249000,9
118,4721,2025.09.12,2144,159,2073
119,42000,2025.08.29,1532,18000,5
120,759000,2025.08.12,65000,155000,2186
121,104000,2025.09.24,2522,32000,12
122,7621,2025.09.19,6235,738,35050
123,736,2025.09.20,24,5,7
124,41000,2025.09.21,3880,2947,1184
125,368000,2025.09.07,11000,150000,5
126,282000,2025.09.21,16000,67000,1035
127,182000,2025.09.21,23000,3279,9
128,5052,2025.09.14,3754,214,35961
129,204000,2025.09.07,8858,8217,6
130,1528,2025.07.28,564,775,950
131,212000,2025.09.25,7631,9222,22
132,119000,2025.08.31,68000,72000,351
133,2480,2025.09.03,113,18,11
134,1836,2025.09.20,1374,64,26183
135,117,2025.09.23,21,3,178
136,127,2025.09.23,29,2,449
137,5798000,2025.09.11,368000,7302000,286
138,8040,2025.09.24,1645,92,522
139,662,2025.09.21,65,5,179
140,5759,2025.09.24,3898,1208,2799
141,134000,2025.09.24,5093,5321,6
142,5542000,2025.09.21,189000,362000,31
143,2330000,2025.09.02,281000,277000,842
144,2019,2025.09.20,214,85,5
145,82000,2025.09.13,16000,75000,6
146,95000,2025.09.22,98000,27000,627
147,124000,2025.09.04,20000,14000,5
148,131000,2025.09.24,17000,16000,810
149,81000,2025.08.20,20000,14000,7
150,1863,2025.07.03,996,681,1119
151,10000,2025.09.24,1649,1658,5
152,10000,2025.09.24,1649,1658,5
153,182000,2025.09.21,117000,63000,727
154,51000,2025.07.01,7803,3531,5
155,5821,2025.07.06,1132,174,1161
156,915,2025.08.19,194,18,5
157,1609,2025.09.22,347,136,997
158,38000,2025.07.28,1306,2919,12
159,412,2025.09.25,76,4,1229
160,1844,2025.07.06,133,6,7
161,222,2025.09.10,147,32,1220
162,7598,2025.09.08,917,1701,5
163,2919,2025.09.21,1327,246,1119
164,32000,2025.08.31,24000,5900,1685
165,1678,2025.09.24,1013,134,48421
